S.No,Office Name,Address,Contract Number,Email ID
1,Kharagpur Indane DO,"Indian Oil Corporation Ltd (Marketing Division), Ground Floor, House Name Parichay, Near Maitree Bhavan, Hijli Co-operative Society, , West Bengal 721306.",7602204479,indanecarekgp@indianoil.in
2,Muzaffarpur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Village - Sherpur, PO - MIC Bela, , Bihar 842005.",6212275001,indanecaremfp@indianoil.in
3,Varanasi Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Village : Jamalpur, PO: Kazisarai, , Uttar Pradesh 221105.",5422971070,indanecarevrs@indianoil.in
4,Kanpur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), IOCL Bulk Terminal, Kalpi Road, Panki, Uttar Pradesh 208020.",5122979988,indanecarekan@indianoil.in
5,Sambhalpur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Kainsir Road, Ainthapali, , Odisha 768004.",0663-2950319,indanecaresbp@indianoil.in
6,Delhi Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 2nd Floor, World Trade Centre Babar Road, Barakhamba Lane, , Delhi 110001.",011-23412268 23412266 23411491 23411282,indanecaredlh@indianoil.in
7,Karnal Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), KohandAssand Road, Village - Gudha Karnal, , Haryana 132114.",8278351142,indanecarekln@indianoil.in
8,Chandigarh Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Tel Bhawan Plot No. 6A, sector 19B, Madhya Marg, , Chandigarh 160019.",0172-2780568,indanecarechd@indianoil.in
9,Jammu Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 22-OB, JDA Commercial Complex, Railhead, , Jammu & Kashmir 180012.",0191-2472605,indanecarejmu@indianoil.in
10,Shimla Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Shimla Block no. 21 ,SDA Complex, Kasumptee, , Himachal Pradesh 171009.",0177-2625428,indanecaresml@indianoil.in
11,Jalandhar Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Bypass, Suchipind, , Punjab 144009.",0181-2420251,indanecarejal@indianoil.in
12,Jaipur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), SPL-1297, Sitapura Industrial Area, Goner Road, , Rajasthan 302022.",7240224365,indanecarejpr@indianoil.in
13,Jodhpur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Sector-12, Chopasni Housing Board, , Rajasthan 342008.",0291-2718274,indanecarejdp@indianoil.in
14,Allahabad Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 5th Floor Indira Bhawan, Civil Line, , Uttar Pradesh 211001.",0532-4503211,indanecareabd@indianoil.in
15,Lucknow Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Vibhuti Khand, Gomti Nagar, , Uttar Pradesh 226010.",0522 4101331,indanecarelko@indianoil.in
16,Gorakhpur Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 2nd Floor ,Chandra kanta Bhawan , New Dudha nagar , Tara mandal,deoria By Pass, , Uttar Pradesh 273016.",0551-4073411 4073413,indanecaregkp@indianoil.in
17,Bareilly Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), 35-A, Kamla Nehru Marg, Civil Lines, , Uttar Pradesh 243001.",5812540103,indanecarebly@indianoil.in
18,Agra Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Agra 65/2 Sanjay Place, , Uttar Pradesh 282002.",0562-2854966,indanecareagrao@indianoil.in
19,Noida Indane DO-LPG,"Indian Oil Corporation Ltd (Marketing Division), Indian Oil Bhavan, PLHO, 9th floor, A-1, Sector-1, Udyog Marg, , Uttar Pradesh 201301.",0120-2448431,indanecarenoi@indianoil.in
